Улан-Удэ Энерго,Улан-Удэ,"Kaspersky Enterprise Space Security,Microsoft 365 (ранее Office 365)","ИБ - Антивирусы,ИБ - Межсетевые экраны,SaaS - Программное обеспечение как услуга,Офисные приложения",2018
Улан-Удэ Энерго,Улан-Удэ,1С:Документооборот 8 КОРП,СЭД,2013
Энергоцентр,Московская область,Naumen Contact Center (ранее IP call-центр Naumen Phone),"Call-центры,IP-телефония,SaaS - Программное обеспечение как услуга",2018
Якутская ГРЭС-2,Якутск,Кодекс: Документооборот,СЭД,2016
Спецэнерго,Санкт-Петербург,Электронный архив Этлас,СЭД,2022
Спецэнерго,Санкт-Петербург,ТЕЗИС Система управления документами и задачами,СЭД,2022
Солар Системс (Solar Systems),Москва,1С:Бухгалтерия КОРП,"SaaS - Программное обеспечение как услуга,Учетные системы",2019
Солар Системс (Solar Systems),Москва,ТЕЗИС Система управления документами и задачами,СЭД,2016
Кубаньэнергосервис,Краснодар,Queue Neuroniq Система управления очередью,СУО - Системы управления очередью,2019
АЭС инвест,Челябинск,БИТ.ФИНАНС: Управленческий учет,Учетные системы,2013
Псковэнергоагент,Псков,ВидеоМост (VideoMost) ВКС,"SaaS - Программное обеспечение как услуга,Видеоконференцсвязь",2021
Интер РАО - Центр управления закупками,Москва,Проекты ИТ-аутсорсинга,ИТ-аутсорсинг,2021
Волгоэлектросеть,Нижний Новгород,БИТ.Финанс.Проф,Учетные системы,2014
ТехЭнерго,Тюмень,"ELMA BPM Suite,ELMA ECM+","BPM,SaaS - Программное обеспечение как услуга,СЭД",2018
Теплоцентраль,Московская область,ТЕЗИС Система управления документами и задачами,СЭД,2018
"Уралэлектра, НПП",Екатеринбург,Comindware Tracker,"BPM,SaaS - Программное обеспечение как услуга",2015
Электрические сети Удмуртии,Ижевск,ВидеоМост (VideoMost) ВКС,"SaaS - Программное обеспечение как услуга,Видеоконференцсвязь",2020
Электромагистраль,Новосибирск,TrueConf Server,"SaaS - Программное обеспечение как услуга,Видеоконференцсвязь",2019
Вт сети (Всеволожские тепловые сети),Всеволожск,Directum RX,"BPM,HRM,SaaS - Программное обеспечение как услуга,СЭД",2018
ПетроЭнергоКонтроль,Санкт-Петербург,Проекты ИТ-аутсорсинга,ИТ-аутсорсинг,2020
"Воткинский завод, ТСК",Воткинск,ТЕЗИС Система управления документами и задачами,СЭД,2015
Каракан инвест,Москва,FlexNet Manager,ITSM - Системы управления IT-службой,2015
Энергия Проект,Самара,ТЕЗИС Система управления документами и задачами,СЭД,2015
Энергомир,Уфа,"ELMA BPM Suite,ELMA ECM+","BPM,SaaS - Программное обеспечение как услуга,СЭД",2015
Элвест,Екатеринбург,Directum RX,"BPM,HRM,SaaS - Программное обеспечение как услуга,СЭД",2018
Север Проект,Москва,Directum RX,"BPM,HRM,SaaS - Программное обеспечение как услуга,СЭД",2022
Энергосервисная компания Ленэнерго,Санкт-Петербург,"БИТ.ФИНАНС: Управленческий учет,1С:Бухгалтерия",Учетные системы,2015
Энергосеть-25,Москва,"ELMA BPM Suite,ELMA365 ECM","BPM,SaaS - Программное обеспечение как услуга,СЭД",2021
Кировтеплоэнерго,Киров,Е1 Евфрат,"СЭД,СЭД - Системы потокового распознавания",2014
Рефлакс-С (Reflux),Саранск,TrueConf Server,"SaaS - Программное обеспечение как услуга,Видеоконференцсвязь",2016
Волгодонские тепловые сети,Волгодонск,1С:Предприятие 8.0,ERP,2013
Газпром газораспределение Черкесск,Черкесск,Directum (СЭД/ECM-система),СЭД,2021
Кубаньгазэнергосервис,Смоленск,TrueConf Server,"SaaS - Программное обеспечение как услуга,Видеоконференцсвязь",2019
Техпромэксперт,Москва,CloudServer by ActiveCloud (Softline),IaaS - Инфраструктура как услуга,2015
Эннова (Ennova),Новосибирск,ТЕЗИС Система управления документами и задачами,СЭД,2019
Тагилэнерго,Нижний Тагил,TrueConf Server,"SaaS - Программное обеспечение как услуга,Видеоконференцсвязь",2016
ЭнергоСеть (ЭВ-Групп),Москва,ИТАН: Управленческий баланс,"CPM,ERP,Учетные системы",2023
Энергосбережение,Москва,Cloud4Y IaaS,IaaS - Инфраструктура как услуга,2021
Маяк-Энергия,Пенза,"КРУГ: АСУ ТП турбоагрегата,Simatic Process Control System (PCS)",АСУ ТП,2017
Передвижная энергетика,Москва,LanDocs,СЭД,2014
ОРЭС-Тольятти,Тольятти,1С:Предприятие 8. Управление Автотранспортом,"TMS - Управление транспортом,Системы управления автохозяйством (FMS),Учетные системы",2023
Меринг Инжиниринг,Тверь,"ELMA ECM+,ELMA BPM Suite","СЭД,BPM,SaaS - Программное обеспечение как услуга",2020
Генэк,Санкт-Петербург,"ELMA365,ELMA365 CRM","BPM,SaaS - Программное обеспечение как услуга,CRM",2022
Звезда-Энергокомплекс,Санкт-Петербург,Directum RX,"BPM,HRM,SaaS - Программное обеспечение как услуга,СЭД",2020
ИнСетКом,Екатеринбург,"БИТ.Строительство,БИТ.Строительство.Подрядчик",Учетные системы,2021
Альфа-Дизель,Санкт-Петербург,1С:Документооборот 8 КОРП,СЭД,2020
Спецэлектромонтаж - 75,Москва,1С:Подрядчик строительства. Управление финансами,Учетные системы,2015
Электросети,Северск,1С:Предприятие 8.0,ERP,2014
Инвар,Москва,Creatio (ранее bpm’online),"BPM,CRM,SaaS - Программное обеспечение как услуга",2018
Инвар,Москва,TrueConf Server,"SaaS - Программное обеспечение как услуга,Видеоконференцсвязь",2016
Инвар,Москва,Navicon FMCG TDC (Trade Data Consolidation) (ранее Navicon SalesOut),"ERP,Учетные системы",2014
Современные медицинские технологии (СМТ),Санкт-Петербург,МедКарта OnDoc Медицинский ИТ-сервис,"SaaS - Программное обеспечение как услуга,Телемедицинский сервис",2015
Современные медицинские технологии (СМТ),Санкт-Петербург,ВидеоМост (VideoMost) ВКС,"SaaS - Программное обеспечение как услуга,Видеоконференцсвязь",2014
Современные медицинские технологии (СМТ),Санкт-Петербург,1С:Комплексная автоматизация 8,ERP,2014
Медицинский центр XXI век,Санкт-Петербург,Medsenger.AI Tелемедицинская платформа,Телемедицинский сервис,2023
Медицинский центр XXI век,Санкт-Петербург,1С:Зарплата и управление персоналом 8 КОРП,HRM,2021
Медицинский центр XXI век,Санкт-Петербург,Raidix СХД,СХД,2017
Макиз-Фарма,Москва,1С:ERP Управление предприятием 2,"ERP,SaaS - Программное обеспечение как услуга",2022
Макиз-Фарма,Москва,"BioLink BioTime,BioLink FingerPass","ИБ - Биометрическая идентификация,Учет рабочего времени",2016
Макиз-Фарма,Москва,Е1 Евфрат,"СЭД,СЭД - Системы потокового распознавания",2013
ДиаЛаб Плюс,Москва,N3.Health,"SaaS - Программное обеспечение как услуга,Медицинская информационная система,Лабораторные информационные системы",2020
ДиаЛаб Плюс,Москва,1С:Бухгалтерия КОРП,"SaaS - Программное обеспечение как услуга,Учетные системы",2015
Гельтек-Медика,Москва,"1С:ERP Управление предприятием 2,1С:Документооборот 8 КОРП","ERP,SaaS - Программное обеспечение как услуга,СЭД",2017
Гельтек-Медика,Москва,Е1 Евфрат,"СЭД,СЭД - Системы потокового распознавания",2014
Тармед,Москва,1С:ERP Управление предприятием 2,"ERP,SaaS - Программное обеспечение как услуга",2018
Тармед,Москва,1С:Бухгалтерия ПРОФ,"SaaS - Программное обеспечение как услуга,Учетные системы",2017
Тармед,Москва,1С:Зарплата и управление персоналом 8,HRM,2017
Белый Кит,Челябинск,"БИТ:Стоматология,БИТ.Phone","Учетные системы,Call-центры",2017
Белый Кит,Челябинск,1С:ITIL. Управление информационными технологиями,ITSM - Системы управления IT-службой,2015
Астон Консалтинг,Москва,Parking.ru Хостинг ИСПДн,"SaaS - Программное обеспечение как услуга,ИБ - Предотвращения утечек информации,ИБ - Резервное копирование и хранение данных,ИТ-аутсорсинг",2017
МедЦентрСервис,Москва,МедКарта OnDoc Медицинский ИТ-сервис,"SaaS - Программное обеспечение как услуга,Телемедицинский сервис",2015
Бест Клиник,Москва,Doctor Smart Блокчейн-платформа для удаленных консультаций в сфере здоровья,Телемедицинский сервис,2018
Бест Клиник,Москва,МедКарта OnDoc Медицинский ИТ-сервис,"SaaS - Программное обеспечение как услуга,Телемедицинский сервис",2015
Реавиз,Самара,Dr.Web Enterprise Security Suite,"ИБ - Антивирусы,ИБ - Антиспам,ИБ - Межсетевые экраны",2016
Реавиз,Самара,ТЕЗИС Система управления документами и задачами,СЭД,2015
Лаборатория гемодиализа,Уфа,Lexema RPA,RPA - Роботизированная автоматизация процессов,2020
Лаборатория гемодиализа,Уфа,Lexema-ERP.Медицина,"ERP,Медицинская информационная система",2018
Искра-Мед,Барнаул,Проекты ИТ-аутсорсинга,ИТ-аутсорсинг,2020
Искра-Мед,Барнаул,"Проекты ИТ-аутсорсинга,Xerox WorkCentre МФУ,Xerox VersaLink-серия принтеров и МФУ","ИТ-аутсорсинг,Офисная техника",2020
Фармлайн,Москва,ConsID ГИС,"MDM - Master Data Management - Управление основными мастер-данными,СОА",2020
Фармлайн,Москва,1С:ERP Управление предприятием 2,"ERP,SaaS - Программное обеспечение как услуга",2016
БИОН (BION),Москва,"Directum (СЭД/ECM-система),Directum Jazz","СЭД,Mobile Device Management (MDM),SaaS - Программное обеспечение как услуга,СЭД - Системы потокового распознавания",2016
Трейдомед Инвест,Москва,"1С:Предприятие 8. Управление торговлей и взаимоотношениями с клиентами (CRM),1С-Рарус: Интеграция с телефонией (СофтФон)","CRM,IP-телефония",2020
Трейдомед Инвест,Москва,1С:CRM ПРОФ,CRM,2014
ИТФ (Italfarmaco),Москва,Utrace Hub,"SaaS - Программное обеспечение как услуга,Учетные системы",2023
Лабквест (LabQuest),Москва,Гармония MDM (ранее NaviCon MDM),MDM - Master Data Management - Управление основными мастер-данными,2020
Дентал-Ист (Dental-East),Москва,Первая Форма (система управления),"BPM,CRM,СЭД",2019
Центр косметологии и пластической хирургии (Екатеринбург),Екатеринбург,"Дом.ру Бизнес: Облачная АТС,Дом.ру Бизнес: Облачное видеонаблюдение","IP-телефония,SaaS - Программное обеспечение как услуга,Системы видеонаблюдения",2015
ДЦ Плюс,Москва,1С:CRM КОРП,CRM,2014
Диалайн,Ростов-на-Дону,Okdesk Система учета и регистрации заявок для малых и средних сервисных компаний,"CRM,ITSM - Системы управления IT-службой,SaaS - Программное обеспечение как услуга",2022
Зелдис-Фарма (Zeldis Pharma),Подольск,1С:Автоматизированное обновление измененных конфигураций,Учетные системы,2019
Таймед,Москва,1С:Предприятие 8. Управление торговлей и взаимоотношениями с клиентами (CRM),CRM,2020
Владмива,Белгород,1С:ERP Управление предприятием 2,"ERP,SaaS - Программное обеспечение как услуга",2023
УК Медма,Екатеринбург,Creatio (ранее bpm’online),"BPM,CRM,SaaS - Программное обеспечение как услуга",2018
Генотек (Genotek),Москва,1С-Битрикс: Корпоративный портал,Корпоративные порталы,2016
Фармпрепарат,Азов,ВидеоМост (VideoMost) ВКС,"SaaS - Программное обеспечение как услуга,Видеоконференцсвязь",2021
Фармгеоком (Pharmgeocom),Москва,ELMA BPM Suite,"BPM,SaaS - Программное обеспечение как услуга",2015
Фармасофт,Москва,"ELMA BPM Suite,ELMA KPI","BPM,SaaS - Программное обеспечение как услуга",2017
Скайлаб,Самара,Смарт-софт: Traffic Inspector Next Generation,ИБ - Межсетевые экраны,2019
Биоритм,Екатеринбург,1С:ERP Управление предприятием 2,"ERP,SaaS - Программное обеспечение как услуга",2018
Аквион,Москва,LanCloud: Cloud SharePoint,"CMS - Системы управления контентом,SaaS - Программное обеспечение как услуга,Корпоративные порталы,СЭД",2018
"Промедика, сеть медицинских клиник",Белгород,SteadyControl Система контроля и управления персоналом,"HRM,Речевые технологии,Системы видеоаналитики",2022
Ростовоблфармация (Аптеки Дона),Ростов-на-Дону,Directum RX,"BPM,HRM,SaaS - Программное обеспечение как услуга,СЭД",2021
Медиком,Москва,Datareon Platform,"Data Quality - Качество данных,MDM - Master Data Management - Управление основными мастер-данными,СОА",2016
Медик (клиника Чебоксары),Чебоксары,Call Center Infinity,"Call-центры,IP-телефония",2016
Миралек-Агро,Краснодар,Alexrovich: Модуль Управление отделом продаж для 1С:Предприятие 8 (CRM Alexrovich),CRM,2020
Миллор Групп,Москва,Антегра: Фармаконадзор,"MDM - Master Data Management - Управление основными мастер-данными,Учетные системы",2023
МЦРМ (Международный центр репродуктивной медицины),Санкт-Петербург,Creatio (ранее bpm’online),"BPM,CRM,SaaS - Программное обеспечение как услуга",2019
Мед-Рей (Med-Ray),Москва,TrueConf Server,"SaaS - Программное обеспечение как услуга,Видеоконференцсвязь",2018
Центр контактной коррекции зрения,Москва,"1С:Управление торговлей 8,1С:Розница 8. Салон оптики","Системы автоматизации торговли,ERP",2016
